Company_Name;Wikipedia_URL;Official_Website;LinkedIn_URL;Description
Nubank;https://en.wikipedia.org/wiki/Nubank;https://nubank.com.br/en/;https://www.linkedin.com/company/nubank;Nu Holdings Ltd., operating under the brand name Nubank, is a Brazilian financial technology company headquartered in São Paulo, Brazil. Founded on May 6, 2013, by David Vélez, Edward Wible, and Cristina Junqueira, Nubank has grown to become the largest fintech bank in Latin America, serving over 100 million customers across Brazil, Mexico, and Colombia. The company offers a range of products, including a no-annual-fee international Mastercard credit card, a digital bank account known as NuConta, personal loans, and a loyalty program called Nubank Rewards. Nubank's business model primarily revolves around lending, with approximately 80% of its revenue derived from this segment. In December 2021, Nubank went public with an initial valuation of $45 billion, and by 2023, its valuation had increased to $72 billion. The company has attracted significant investment from entities such as Sequoia Capital, Tiger Global Management, Goldman Sachs, Berkshire Hathaway, and Tencent, which invested $180 million in 2018. In 2020, Nubank expanded its services by acquiring Easynvest, a Brazilian investment broker, and in 2021, it began operations in Colombia. In April 2025, Nubank received approval from Mexico's National Banking and Securities Commission to operate as a bank in the country, marking a significant milestone in its expansion efforts. As of 2023, Nubank employed approximately 7,686 individuals. The company's revenue for 2023 was reported at $8.03 billion, with a net income of $1.03 billion. Nubank's primary competitors include traditional banks and other neobanks operating in the Latin American market.
Inter;https://en.wikipedia.org/wiki/Inter_Milan;https://www.inter.it/en;https://www.linkedin.com/company/inter-and-co;Football Club Internazionale Milano S.p.A., commonly known as Inter Milan, is an Italian professional football club headquartered in Milan, Italy. Founded on March 9, 1908, by a group of 43 enthusiasts, the club has a rich history in Italian football. In 2016, Chinese conglomerate Suning Holdings Group acquired a 68.5% stake in Inter Milan, marking a significant ownership milestone. However, in May 2024, following Suning's default on a €395 million loan from Oaktree Capital Management, the U.S.-based investment firm assumed control of the club. ([reuters.com](https://www.reuters.com/sports/soccer/soccer-oaktree-says-it-has-taken-ownership-inter-milan-after-missed-payment-2024-05-22/?utm_source=openai)) Inter Milan's core products and services revolve around professional football, including participation in domestic and international competitions, player development, and fan engagement. The club's home matches are played at the San Siro stadium, which they share with city rivals AC Milan. Inter Milan's target customer segments include football fans both domestically and internationally, with a strong presence in Italy and a growing global following. The club's business model encompasses revenue streams from matchday sales, broadcasting rights, and commercial partnerships. In the 2022-2023 season, Inter Milan reported revenues of €379 million and an operating income of €37 million. ([forbes.com](https://www.forbes.com/teams/inter-milan/?utm_source=openai)) Major clients and deployments include sponsorships with companies such as Lenovo and DigitalBits. Key partnerships and distribution channels involve collaborations with various brands for kit manufacturing and promotional activities. Recent strategic moves include the acquisition of players like Hakan Çalhanoğlu in 2021, Henrikh Mkhitaryan in 2022, and Marcus Thuram in 2023, as well as the sale of goalkeeper André Onana to Manchester United in July 2023. As of May 2024, the club's headcount includes a chairman, Giuseppe Marotta, and a head coach, Simone Inzaghi. Publicly stated financial metrics indicate that Inter Milan's enterprise value is approximately €926 million, with a debt-to-value ratio of 44%. ([forbes.com](https://www.forbes.com/teams/inter-milan/?utm_source=openai)) Notable competitors include city rivals AC Milan and Juventus, with whom they contest the Derby della Madonnina and the Derby d'Italia, respectively. Inter Milan has secured 20 Serie A titles, including the most recent in April 2024, and has a storied history in European competitions, winning the UEFA Champions League three times. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Inter_Milan?utm_source=openai))
RiotGames;https://en.wikipedia.org/wiki/Riot_Games;https://www.riotgames.com/en;https://www.linkedin.com/company/riot-games;Riot Games, Inc., an American video game developer and publisher, was founded in September 2006 by Brandon Beck and Marc Merrill in Santa Monica, California. The company is headquartered in Los Angeles and operates 23 offices worldwide as of 2025. In 2011, Chinese conglomerate Tencent acquired a 93% stake in Riot Games, later purchasing the remaining 7% in December 2015, making it a wholly owned subsidiary. Riot Games' core products include League of Legends (2009), League of Legends: Wild Rift (2020), Legends of Runeterra (2020), Teamfight Tactics (2019), and Valorant (2020). The company utilizes proprietary technologies and intellectual property to develop and support these titles. Its target customer segments encompass a global gaming audience, with a significant presence in North America, Europe, and Asia. Riot Games operates on a free-to-play business model, generating revenue through in-game purchases, corporate sponsorships, merchandise, and streaming rights for its esports leagues. Major clients and deployments include partnerships with professional esports teams and organizations worldwide. Key partnerships and distribution channels involve collaborations with various game development studios, streaming platforms, and merchandise retailers. Recent strategic moves include the acquisition of Radiant Entertainment in 2016, the launch of Riot Forge in 2019 to publish League of Legends spin-offs, and the acquisition of Hypixel Studios in 2020 to publish Hytale. As of 2024, Riot Games employs over 4,200 individuals. While specific financial metrics such as Annual Recurring Revenue (ARR), funding, valuation, and revenue are not publicly disclosed, the company has achieved significant success with its flagship game, League of Legends, which, by 2013, was the most-played multiplayer PC game in the world. Notable competitors in the gaming industry include Blizzard Entertainment, Epic Games, and Valve Corporation.
Blackstone;https://en.wikipedia.org/wiki/Blackstone_Inc.;https://blackstoneproducts.com/?srsltid=AfmBOopG0wM98kcHjq3fCZCjM026hz5-oMdURnsgd12dLYDr10SosVe2;https://www.linkedin.com/company/blackstonegroup;Blackstone Inc., headquartered at 345 Park Avenue, New York City, was founded in 1985 by Peter G. Peterson and Stephen A. Schwarzman, who previously collaborated at Lehman Brothers. Initially established as a mergers and acquisitions advisory firm, Blackstone has evolved into the world's largest alternative investment management company, with over $1.1 trillion in assets under management as of 2024. The company's diverse portfolio includes private equity, real estate, credit, infrastructure, hedge funds, secondaries, growth equity, and insurance solutions. Blackstone's private equity division has been a significant investor in leveraged buyouts over the past three decades, while its real estate segment has actively acquired commercial properties globally. The firm operates on a business model that generates revenue through management fees and performance fees, primarily targeting institutional investors such as pension funds, sovereign wealth funds, and insurance companies, as well as individual investors. In 2024, Blackstone reported a net income of $2.44 billion and a revenue of $2.78 billion. The company has made several strategic moves, including the acquisition of Cvent in 2023 and the planned listing of some of its largest investments, such as Medline Industries and Merlin Entertainments, in 2024. As of 2024, Blackstone employs approximately 4,895 individuals. Notable competitors in the alternative investment management sector include firms like Apollo Global Management and KKR.
PublicInvestmentFund(PIF);https://en.wikipedia.org/wiki/Public_Investment_Fund;https://www.pif.gov.sa/;https://www.linkedin.com/company/pifsaudi;The Public Investment Fund (PIF) is Saudi Arabia's sovereign wealth fund, established on August 17, 1971, by Royal Decree M/24, with the intent to provide financing support for projects of strategic significance to the national economy. It is headquartered in Riyadh, Saudi Arabia. The PIF is wholly owned by the Government of Saudi Arabia. As of March 2024, the fund's assets under management are estimated at $930 billion. The PIF's portfolio is diverse, encompassing investments in various sectors, including technology, entertainment, and infrastructure, both domestically and internationally. Notable international investments include a 5% stake in Uber Technologies Inc., a 5% stake in video game companies Capcom and Nexon, and a 5.7% stake in concert distributor Live Nation. Domestically, the PIF owns Qiddiya, spearheads the Red Sea Project for luxury beach resorts, and owns the closed joint-stock company named Neom. In 2016, the PIF partnered with SoftBank Group to establish the SoftBank Vision Fund, aiming to invest up to $45 billion over five years in the tech sector. In 2020, the PIF disclosed a $713.7 million stake in Boeing, around $522 million in Citigroup, a $522 million stake in Facebook, a $495.8 million stake in Disney, and a $487.6 million stake in Bank of America. In 2021, the PIF purchased minority stakes in major U.S. companies, including Boeing, Meta Platforms (then Facebook), and Citigroup. In 2022, the PIF acquired a 5% stake in the Japanese video game company Nintendo and an 8% stake in Embracer Group. In November 2023, the PIF acquired a 10% stake in Heathrow Airport after Ferrovial sold its 25% share. Subsequently, on December 15, 2024, it was reported that Ardian and the PIF had successfully acquired 22.6% and 15% respectively of stakes in Heathrow Airport for a combined $4.12 billion from Ferrovial and some shareholders in FGP TopCo. In December 2023, the PIF acquired a 49% stake in Rocco Forte Hotels, valuing the hotel group at £1.4 billion. In 2024, the PIF acquired a 38% share of HOLON GmbH, a subsidiary of the Benteler Group, which is launching the world's first electric autonomous shuttle with automotive standards in 2026. The PIF has also been involved in the establishment of LIV Golf Investments, a professional golf tour, and has made significant investments in the video game industry, including stakes in Electronic Arts, Take-Two Interactive, and Activision Blizzard. The PIF's business model focuses on generating long-term financial returns through a diversified investment strategy, with revenue streams primarily derived from its equity holdings and strategic partnerships. As of 2024, the PIF employs approximately 4,890 individuals. In 2022, the PIF reported an $11 billion investment loss, compared to a $19 billion gain in 2021, highlighting the volatile nature of its investment activities. The PIF's notable competitors include other sovereign wealth funds and private equity firms operating in similar sectors and regions.
PicPay;https://pt.wikipedia.org/wiki/PicPay;https://picpay.com/;https://www.linkedin.com/company/picpay;PicPay Instituição de Pagamento S.A., commonly known as PicPay, is a Brazilian fintech company headquartered in São Paulo, São Paulo. Founded on July 19, 2012, in Vitória, Espírito Santo, by Dárcio Schwab Stehling, Diogo Brumas Carvalho Roberte, and Anderson Andrade Chamon do Carmo, PicPay was acquired by J&F Investimentos in 2015. As of 2023, the company employs over 4,500 individuals. ([investor.picpay.com](https://investor.picpay.com/company-info/about-picpay/?utm_source=openai)) PicPay offers a comprehensive suite of financial services, including a digital wallet, credit offerings, investments, insurance, and payment solutions for businesses. The digital wallet enables users to perform a wide range of financial transactions, such as adding funds via electronic transfers, including the Brazilian Central Bank’s instant payment system, PIX, and earning interest on wallet balances. The company pioneered the use of QR codes in 2013 to facilitate instant payments between individuals in Brazil. ([investor.picpay.com](https://investor.picpay.com/company-info/our-products/?utm_source=openai)) In 2021, PicPay launched its first insurance product and plans to offer additional products like investments later in the year. The company generates revenue through fees associated with certain payment transactions and fund transfers, commissions from partners for financial services purchased on its platform, and commissions from the sale of third-party goods through the PicPay Store. ([investor.picpay.com](https://investor.picpay.com/company-info/our-products/?utm_source=openai)) In 2024, PicPay reported a net income of R$252 million, a sevenfold increase compared to 2023, and revenue of R$5.6 billion, marking a 61% growth over the same period.  The company has established key partnerships, including one with Citigroup, to enhance its financial services offerings. ([fintech.industryexaminer.com](https://fintech.industryexaminer.com/picpay-ipo-speculation/?utm_source=openai)) PicPay's major competitors include Nubank, Banco Inter, and Banco Original, which are also prominent digital banks in Brazil.
Coinbase;https://en.wikipedia.org/wiki/Coinbase;https://www.coinbase.com/;https://www.linkedin.com/company/coinbase;Coinbase Global, Inc., founded in June 2012 by Brian Armstrong and Fred Ehrsam, is a remote-first company headquartered in the United States. It operates a cryptocurrency exchange and manages digital assets, offering products for both retail and institutional investors. Retail products include the Coinbase app, Coinbase Pro (formerly Coinbase Advanced), Coinbase Wallet, and Coinbase One, while institutional offerings encompass Coinbase Prime and Coinbase Custody. Additional services include USD Coin, a digital stablecoin, Coinbase Card, a Visa debit card for cryptocurrency spending, and Coinbase Earn, a platform for earning rewards through cryptocurrency staking. The company utilizes blockchain technology and has developed an application programming interface (API) for developers and merchants to build applications and accept payments in digital currencies. As of 2023, Coinbase has over 108 million customers across more than 100 countries. Its business model primarily generates revenue through transaction fees, with a reported net revenue of $6.56 billion in 2024. In April 2021, Coinbase became the largest publicly traded crypto company in the world. The company has a headcount of 3,772 employees as of 2024. Notable competitors include Binance and Kraken. Coinbase's stock is traded on the Nasdaq under the ticker symbol COIN. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Coinbase?utm_source=openai))
Neon;https://en.wikipedia.org/wiki/Neon;https://neonrated.com/;https://www.linkedin.com/company/neonrated;"NEON Rated, LLC, operating under the trade name Neon, is an American independent film production and distribution company headquartered in New York City, New York. Founded on January 13, 2017, by CEO Tom Quinn and Tim League, co-founder of the Alamo Drafthouse Cinema chain, Neon has become known for distributing notable films such as ""I, Tonya"" (2017), ""Parasite"" (2019), ""Portrait of a Lady on Fire"" (2019), ""Palm Springs"" (2020), ""Flee"" (2021), ""Spencer"" (2021), ""The Worst Person in the World"" (2021), ""Triangle of Sadness"" (2022), ""Anatomy of a Fall"" (2023), ""Anora"" (2024), ""Longlegs"" (2024), ""The Seed of the Sacred Fig"" (2024), and ""The Monkey"" (2025). ""Parasite"" became Neon's highest-grossing film worldwide with $262 million and won the Academy Award for Best Picture. In 2024, ""Longlegs"" had a domestic box office gross of $74.3 million, becoming the distributor's highest-grossing film in North America. ""Anora"" won the Academy Award for Best Picture in 2025. Neon has collaborated with filmmakers such as Sean Baker, Bong Joon Ho, Julia Ducournau, Craig Gillespie, Pablo Larraín, and Céline Sciamma. In 2018, a majority stake of Neon was sold to 30West, the media venture arm of The Friedkin Group. In February 2021, Neon and Bleecker Street launched Decal, a joint home entertainment distribution company. As of March 2025, Neon employed approximately 60 people. The company has garnered 39 Academy Award nominations, winning 11 overall. Notable competitors include A24, which has also distributed acclaimed films."
TataCapital;https://en.wikipedia.org/wiki/Tata_Capital;https://www.tatacapital.com/;https://in.linkedin.com/company/tata-capital;Tata Capital Limited, a subsidiary of Tata Sons Private Limited, is an Indian financial and investment services company headquartered in Mumbai, Maharashtra. Established in 2007, it offers a wide array of financial products and services, including consumer loans, wealth management, commercial finance, and infrastructure finance. The company is registered with the Reserve Bank of India as a Core Investment Company and operates as a non-banking financial company. As of March 2024, Tata Sons holds a 92.8% stake in Tata Capital. In February 2025, Tata Capital announced plans to launch an initial public offering, issuing 230 million new shares, marking the first IPO by a Tata Group company since November 2023. ([reuters.com](https://www.reuters.com/markets/deals/indias-tata-capital-approves-plans-ipo-2025-02-25/?utm_source=openai)) The company's product offerings include personal loans, home loans, business loans, vehicle loans, loans against property, education loans, credit cards, and microfinance. Tata Capital also provides wealth management services, offering bespoke investment, protection, and financing services for individuals, businesses, and non-resident Indians. ([tatacapital.com](https://www.tatacapital.com/wealth/about-us.html?utm_source=openai)) The company has over 500 branches across India and employs approximately 15,000 individuals globally. ([leadiq.com](https://leadiq.com/c/tata-capital/5a1d7d63240000240056fa1e?utm_source=openai)) Tata Capital's revenue reached $5 billion as of January 2025. ([leadiq.com](https://leadiq.com/c/tata-capital/5a1d7d63240000240056fa1e?utm_source=openai)) The company competes with other non-banking financial companies in India, such as Bajaj Finserv and HDFC Ltd.
BTGPactual;https://en.wikipedia.org/wiki/BTG_Pactual;https://www.btgpactual.us/;https://www.linkedin.com/company/btgpactual;"Banco BTG Pactual S.A., commonly known as BTG Pactual, is a Brazilian financial services company headquartered in São Paulo, Brazil. Founded in 1983 in Rio de Janeiro by André Jacurski, Luiz Cezar Fernandes, and Paulo Guedes, the company began as a brokerage firm and has since expanded its operations to include investment banking, asset management, wealth management, corporate lending, and sales and trading. As of 2024, BTG Pactual reported revenues of US$11.0 billion, a net income of US$1.9 billion, and total assets amounting to US$159.9 billion. The company employs approximately 8,188 professionals across offices in Latin America, North America, and Europe. BTG Pactual's ownership is controlled by André Esteves, Roberto Sallouti, Nelson Jobim, John Huw Gwili Jenkins, Cláudio Eugênio Stiller Galeazzi, Mark Clifford Maletz, Eduardo Henrique de Mello Motta Loyo, and Guilhermo Ortiz Martínez. In 2006, UBS acquired Banco Pactual for US$2.5 billion, creating UBS Pactual; however, in 2008, Esteves and nine other partners left to establish BTG Investments, which later became BTG Pactual. The company offers a range of services, including advisory in mergers and acquisitions, wealth planning, loans and financings, investment solutions, and market analyses. BTG Pactual is the largest investment bank in Latin America and the Caribbean, ranking as the sixth largest banking institution in Brazil and the eleventh largest in Latin America. The company operates a meritocratic partnership model, focusing on client service, excellence, and long-term vision. BTG Pactual has received numerous awards, including Best Private Bank in Latin America by Global Finance in 2019 and 2020, and Best Investment Bank by Euromoney in 2019. In 2015, Esteves faced legal challenges but was acquitted by Federal Justice in 2018, with the case considered a judicial error. The company has also been involved in controversies, including an insider trading case in 2012, which was closed without impact on the public offering. BTG Pactual's digital platform, BTG Pactual Digital, launched in 2014, offers retail clients access to investment funds, fixed income products, private pensions, and structured operations. The company has expanded its wealth management and international banking operations, acquiring Julius Baer's Brazilian arm and Luxembourg's Fis PrivatBank, and pursuing U.S. expansion. In 2024, BTG Pactual reported a record net income of R$12.3 billion with a 23% adjusted return on equity. The company's unique partnership ownership model and long-term strategic approach continue to drive its growth, with leadership under André Esteves. ([en.wikipedia.org](https://en.wikipedia.org/wiki/BTG_Pactual?utm_source=openai), [ri.btgpactual.com](https://ri.btgpactual.com/en/about-the-bank/corporate-profile-and-history/?utm_source=openai))"
